movie,year,rating,genre,runtime,imdb_rating,metascore,votes,descriptions
Talk to Me/I,2022,7.2,Horror|Thriller,95,7.2,76,69796,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces."
X/II,2022,6.6,Horror|Mystery|Thriller,105,6.6,79,146242,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
The Batman,2022,7.8,Action|Crime|Drama,176,7.8,72,735285,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Don't Worry Darling/I,2022,6.3,Drama|Mystery|Thriller,123,6.3,48,130778,"While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the neighborhood."
Death on the Nile,2022,6.3,Crime|Drama|Mystery,127,6.3,52,172059,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress."
Babylon/I,2022,7.1,Comedy|Drama|History,189,7.1,61,147644,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
A Man Called Otto,2022,7.5,Comedy|Drama,126,7.5,51,133439,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around."
The Menu,2022,7.2,Comedy|Horror|Thriller,107,7.2,71,353334,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
Avatar: The Way of Water,2022,7.6,Action|Adventure|Fantasy,192,7.6,67,462050,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
Everything Everywhere All at Once,2022,7.8,Action|Adventure|Comedy,139,7.8,81,481624,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
Top Gun: Maverick,2022,8.3,Action|Drama,130,8.3,78,633146,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Pearl,2022,7,Drama|Horror|Thriller,103,7,76,72345,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation, and lovelessness of life on her parents' farm."
Bullet Train/I,2022,7.3,Action|Comedy|Thriller,127,7.3,49,387544,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
The Whale,2022,7.7,Drama,117,7.7,60,180987,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
Scream/I,2022,6.3,Horror|Mystery|Thriller,114,6.3,60,146913,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past."
Barbarian,2022,7,Horror|Mystery|Thriller,102,7,78,161228,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.
Glass Onion,2022,7.1,Comedy|Crime|Drama,139,7.1,81,412492,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case."
The Fabelmans,2022,7.5,Drama,151,7.5,84,103177,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth."
Fall/I,2022,6.4,Thriller,107,6.4,62,93562,"When a high-rise climb goes wrong, best friends Becky and Hunter find themselves stuck at the top of a 2,000-foot TV tower."
Prey/I,2022,7.1,Action|Adventure|Drama,100,7.1,71,214808,"Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth."
Amsterdam,2022,6.1,Comedy|Drama|History,134,6.1,48,84491,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history."
Sisu,2022,6.9,Action|War,91,6.9,70,57211,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him."
M3GAN,2022,6.4,Horror|Sci-Fi|Thriller,102,6.4,72,126140,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.
Smile/V,2022,6.5,Horror|Mystery|Thriller,115,6.5,68,141675,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity."
Butcher's Crossing,2022,6.1,Drama|Western,105,6.1,61,294,"An Ivy League drop-out travels to the Colorado wilderness, where he joins a team of buffalo hunters on a journey that puts his life and sanity at risk. Based on the highly acclaimed novel by John Williams."
The Banshees of Inisherin,2022,7.7,Comedy|Drama,114,7.7,87,228087,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
Nope,2022,6.8,Horror|Mystery|Sci-Fi,130,6.8,77,245120,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.
Aftersun/II,2022,7.7,Drama,102,7.7,95,75765,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
Triangle of Sadness,2022,7.3,Comedy|Drama,147,7.3,63,155255,A fashion model celebrity couple join an eventful cruise for the super-rich.
Sanctuary/I,2022,6.3,Drama|Thriller,96,6.3,67,5470,"Follows a dominatrix and Hal, her wealthy client, and the disaster that ensues when Hal tries to end their relationship."
Where the Crawdads Sing,2022,7.2,Drama|Mystery|Romance,125,7.2,43,108244,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
Thor: Love and Thunder,2022,6.2,Action|Adventure|Comedy,118,6.2,57,379389,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
The Northman,2022,7,Action|Adventure|Drama,137,7,82,236884,A young Viking prince is on a quest to avenge his father's murder.
Tár,2022,7.4,Drama|Music,158,7.4,92,82751,"Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra."
Elvis,2022,7.3,Biography|Drama|Music,159,7.3,64,217067,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker."
Terrifier 2,2022,6.1,Horror,138,6.1,59,40412,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night."
Puss in Boots: The Last Wish,2022,7.8,Animation|Adventure|Comedy,102,7.8,73,156162,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish."
All Quiet on the Western Front,2022,7.8,Action|Drama|War,148,7.8,76,223508,A young German soldier's terrifying experiences and distress on the western front during World War I.
The Gray Man,2022,6.5,Action|Thriller,122,6.5,49,225938,"When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins."
Bodies Bodies Bodies,2022,6.2,Comedy|Horror|Thriller,94,6.2,69,58335,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong."
Bones and All,2022,6.8,Drama|Horror|Romance,131,6.8,74,50618,A young woman embarks on a 1000 mile odyssey through America where she meets a disenfranchised drifter. But all roads lead back to their terrifying pasts and to a final stand that will determine whether love can survive their otherness.
Doctor Strange in the Multiverse of Madness,2022,6.9,Action|Adventure|Fantasy,126,6.9,60,454848,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others."
Wifelike,2022,4.9,Sci-Fi|Thriller,105,4.9,,2929,"When artificial human Meredith is assigned as a companion to grieving widower William, she is designed to behave like his late wife. But in the fight to end AI exploitation, an organization attempts to sabotage her programming."
Black Adam,2022,6.3,Action|Adventure|Fantasy,125,6.3,41,260411,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
Women Talking,2022,6.9,Drama,104,6.9,78,36343,"Do nothing, stay and fight, or leave. In 2010, the women of an isolated religious community grapple with reconciling a brutal reality with their faith."
The Unbearable Weight of Massive Talent,2022,7,Action|Comedy|Crime,107,7,68,135727,Moviestar Nick Cage is channeling his iconic characters as he's caught between a superfan and a CIA agent.
Jurassic World Dominion,2022,5.6,Action|Adventure|Sci-Fi,147,5.6,38,192675,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects."
Hellraiser,2022,6,Horror|Mystery|Thriller,121,6,55,45095,"A take on Clive Barker's 1987 horror classic where a young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites."
The Pale Blue Eye,2022,6.6,Crime|Horror|Mystery,128,6.6,56,114893,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe."
Living,2022,7.2,Drama,102,7.2,81,27694,"In 1950s London, a humorless bureaucrat decides to take time off work to experience life after receiving a grim diagnosis."
Purple Hearts,2022,6.7,Drama|Music|Romance,122,6.7,30,47035,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits, but when tragedy strikes, the line between real and pretend begins to blur."
RRR,2022,7.8,Action|Drama,187,7.8,83,157469,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,Adventure|Family|Fantasy,142,6.2,47,159234,Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.
Fresh,2022,6.7,Horror|Thriller,114,6.7,67,67831,"After quitting dating apps, a woman meets the supposedly perfect man and accepts his invitation to a romantic weekend getaway, only to find that her new paramour has been hiding some unusual appetites."
Blonde,2022,5.5,Drama|History,167,5.5,50,68743,"The story of American actress Marilyn Monroe, covering her love and professional lives."
Black Panther: Wakanda Forever,2022,6.7,Action|Adventure|Drama,161,6.7,67,286691,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
Good Boy/II,2022,6.1,Horror|Thriller,76,6.1,,443,"Christian - a millionaire heir, meets Sigrid - a young student, on a dating app. They hit it off quickly, but there's only one problem: Christian lives with Frank, a man who dresses up and constantly acts like a dog."
Three Thousand Years of Longing,2022,6.7,Drama|Fantasy|Romance,108,6.7,60,54505,"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom."
Moonfall,2022,5.1,Action|Adventure|Sci-Fi,130,5.1,41,93569,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.
The Lost City,2022,6.1,Action|Adventure|Comedy,112,6.1,60,141022,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
Halloween Ends,2022,5,Horror|Thriller,111,5,47,65823,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in the final installment of this trilogy.
Deep Water/I,2022,5.5,Drama|Mystery|Thriller,115,5.5,53,53294,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.
Hocus Pocus 2,2022,6,Comedy|Family|Fantasy,103,6,56,49024,Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.
The Outfit,2022,7.2,Crime|Drama|Mystery,105,7.2,69,57867,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.
Emily,2022,6.8,Biography|Drama|History,130,6.8,75,6713,"""Emily"" imagines the transformative, exhilarating, and uplifting journey to womanhood of a rebel and a misfit, one of the world's most famous, enigmatic, and provocative writers, who died, too soon, at age 30."
Skinamarink,2022,4.9,Horror,100,4.9,66,12335,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished."
Uncharted,2022,6.3,Action|Adventure,116,6.3,45,238260,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada."
Texas Chainsaw Massacre,2022,4.7,Crime|Horror|Thriller,81,4.7,34,58844,"After 48 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town."
How to Blow Up a Pipeline,2022,7,Crime|Drama|Thriller,104,7,76,6682,A crew of environmental activists plot a daring plan to disrupt an oil pipeline.
Men,2022,6.1,Drama|Fantasy|Horror,100,6.1,65,55498,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.
The Immaculate Room,2022,5,Drama|Thriller,92,5,42,5179,"Secrets and private demons emerge when a seemingly-perfect young couple compete- for a $5 million prize by isolating themselves in an empty white room for 50 days. No phones, no family--only the room trying to break their resolve."
Speak No Evil,2022,6.6,Drama|Horror|Thriller,97,6.6,78,30751,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.
The Stranger/II,2022,6.6,Crime|Drama|Thriller,117,6.6,74,23926,"Two men who meet on a bus strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true."
She Said,2022,7.3,Drama|History,129,7.3,,34856,Jodi Kantor and Megan Twohey's quest to break the Harvey Weinstein scandal.
Influencer/II,2022,6.1,Horror|Mystery|Thriller,92,6.1,66,8598,"While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living, but CW's interest in her takes a darker turn."
Lady Chatterley's Lover,2022,6.6,Drama|Romance,126,6.6,67,20886,An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.
Blood/IV,2022,5.4,Horror|Thriller,108,5.4,55,3728,"Jess, a separated mother and nurse, moves with her daughter and young son Owen back into her old farmhouse. Shortly after settling in, Owen is bitten by the dog, resulting in a mysterious infection from the bite."
Sonic the Hedgehog 2,2022,6.5,Action|Adventure|Comedy,122,6.5,47,80113,"When the manic Dr. Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way."
After Ever Happy,2022,4.6,Drama|Romance,95,4.6,,9195,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for."
Ticket to Paradise,2022,6.1,Comedy|Romance,104,6.1,50,58780,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.
Sick,2022,6,Horror|Thriller,83,6,62,16276,"Due to the pandemic, Parker and her best friend decide to quarantine at the family lake house alone - or so they think."
Weird: The Al Yankovic Story,2022,6.9,Comedy|Crime|Music,108,6.9,70,34314,"Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle."
The Woman King,2022,6.9,Action|Drama|History,135,6.9,77,68118,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries."
Suzume,2022,7.7,Animation|Action|Adventure,122,7.7,77,27014,A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.
The School for Good and Evil,2022,5.9,Action|Comedy|Drama,147,5.9,30,33541,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.
The Blackening,2022,6,Comedy|Horror|Thriller,97,6,67,12934,Seven friends go away for the weekend and end up trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.
Swallowed,2022,5.4,Horror|Thriller,96,5.4,53,1805,"Follows two best friends on their final night together, with a nightmare of drugs, bugs, and horrific intimacy."
Redeeming Love,2022,6.7,Drama|Romance,134,6.7,32,10438,"Sold into prostitution as a child, Angel knows nothing but betrayal. Can her heart ever be mended? Based upon the novel by Francine Rivers."
The Wonder/I,2022,6.6,Drama|Mystery|Thriller,108,6.6,71,40981,"A tale of two strangers who transform each other's lives, a psychological thriller, and a story of love pitted against evil."
Crimes of the Future,2022,5.8,Drama|Horror|Sci-Fi,107,5.8,67,37748,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances."
The End of Sex,2022,5.1,Comedy|Drama|Romance,87,5.1,43,369,"A couple feeling the pressures of parenting and adulthood, send their kids to winter camp for the first time and embark on a series of sexual adventures to reinvigorate their relationship."
The Munsters,2022,4.5,Comedy|Family|Fantasy,109,4.5,57,10771,"Reboot of ""The Munsters,"" that followed a family of monsters who moves from Transylvania to an American suburb."
Watcher/I,2022,6.3,Drama|Horror|Thriller,96,6.3,72,36699,"A young American woman moves with her husband to Bucharest, and begins to suspect that a stranger who watches her from the apartment building across the street may be a local serial killer decapitating women."
Day Shift,2022,6.1,Action|Comedy|Fantasy,113,6.1,51,86247,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires."
Roald Dahl's Matilda the Musical,2022,7,Comedy|Drama|Family,117,7,72,26090,"An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results."
See How They Run,2022,6.5,Comedy|Crime|Mystery,98,6.5,60,59468,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered."
Guillermo del Toro's Pinocchio,2022,7.6,Animation|Drama|Family,117,7.6,79,105217,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child."
Breaking,2022,6.2,Crime|Drama|Thriller,103,6.2,66,6820,A Marine war veteran faces mental and emotional challenges when he tries to reintegrate into civilian life.
The 355,2022,5.6,Action|Thriller,122,5.6,40,34513,"When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move."
The Invitation/II,2022,5.3,Horror|Thriller,105,5.3,45,28351,"A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot."
Decision to Leave,2022,7.3,Crime|Drama|Mystery,139,7.3,84,48295,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.
What's Love Got to Do with It?,2022,6.3,Comedy|Romance,108,6.3,59,7403,"In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships."
The Bad Guys,2022,6.8,Animation|Adventure|Comedy,100,6.8,64,52442,"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways."
Margaux,2022,4.5,Horror|Thriller,104,4.5,,2367,"A group of college friends rent a smart house for a weekend of partying. Later, they start to realize that Margaux, the house's super advanced AI system, has sinister designs for them."
Master Gardener,2022,6.2,Drama|Thriller,111,6.2,63,5967,"A meticulous horticulturist who is devoted to tending the grounds of a beautiful estate and pandering to his employer, the wealthy dowager."
The Adam Project,2022,6.7,Action|Adventure|Comedy,106,6.7,55,220717,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future."
Turning Red,2022,7,Animation|Adventure|Comedy,100,7,83,141425,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited she transforms into a giant red panda."
Memory/I,2022,5.7,Action|Adventure|Crime,114,5.7,41,32604,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.
Grand Jeté,2022,5,Drama,105,5,,577,"In order to concentrate on her career, a ballet teacher lives estranged from her young son, who grew up with her mother. When she meets him again after years, an affection develops that goes far beyond maternal love."
Narvik: Hitler's First Defeat,2022,6.6,Drama|History|War,108,6.6,,15258,"April 1940. The eyes of the world are on Narvik, a small town in northern Norway, source of the iron ore needed for Hitler's war machinery. Through two months of fierce winter warfare, Hitler is dealt his first defeat."
Cha Cha Real Smooth,2022,7.3,Comedy|Drama,107,7.3,69,24355,A young man who works as a Bar Mitzvah party host strikes up a friendship with a mother and her autistic daughter.
No Exit/I,2022,6.1,Drama|Mystery|Thriller,95,6.1,54,30035,"During a blizzard and stranded at an isolated highway rest stop in the mountains, a college student discovers a kidnapped child hidden in a car belonging to one of the people inside."
Morbius,2022,5.2,Action|Adventure|Horror,104,5.2,35,142594,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead."
Vikram,2022,8.3,Action|Crime|Thriller,175,8.3,,67181,"A special investigator assigned a case of serial killings discovers the case is not what it seems to be, and leading down this path is only going to end in a war between everyone involved."
Emily the Criminal,2022,6.7,Crime|Drama|Thriller,97,6.7,75,48348,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences."
Close/I,2022,7.8,Drama,104,7.8,81,28562,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility."
The Next 365 Days,2022,2.8,Drama|Romance,112,2.8,,8719,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.
Do Revenge,2022,6.3,Comedy,118,6.3,66,46787,Drea and Eleanor agree to go after one another's bullies.
Beast/I,2022,5.6,Action|Adventure|Drama,93,5.6,54,37486,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.
Ambulance,2022,6.1,Action|Crime|Drama,136,6.1,55,87424,Two robbers steal an ambulance after their heist goes awry.
The Quiet Girl,2022,7.7,Drama,95,7.7,89,17406,"Rural Ireland 1981. A quiet, neglected girl is sent away from her dysfunctional family to live with foster parents for the summer. She blossoms in their care, but in this house where there are meant to be no secrets, she discovers one."
DC League of Super-Pets,2022,7.1,Animation|Action|Adventure,105,7.1,56,72072,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped."
The Good Nurse,2022,6.8,Biography|Crime|Drama,121,6.8,65,74531,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.
Candy Land,2022,5.2,Horror|Thriller,93,5.2,70,2972,"A seemingly naive and devout young woman finds her way in the underground world of truck stop sex workers a.k.a. ""lot lizards."""
Luckiest Girl Alive,2022,6.4,Drama|Mystery|Thriller,113,6.4,54,53401,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel."
The Origin of Evil,2022,6.6,Drama|Thriller,123,6.6,67,1227,"A woman on the verge of financial collapse attempts to reconnect with her wealthy, estranged father and his new family."
Sniper. The White Raven,2022,6.4,Drama|War,111,6.4,54,4861,"After suffering a tragedy at the hand of invading soldiers in Donbas, an Ukrainian physics teacher seeks revenge. He sets his sights on an elite Russian sniper whose elimination could change the tide of the conflict."
The Son/I,2022,6.4,Drama,123,6.4,45,13083,"Peter has his busy life with new partner Beth and their baby thrown into disarray when his ex-wife Kate turns up with their teenage son, Nicholas."
Mrs. Harris Goes to Paris,2022,7.1,Comedy|Drama,115,7.1,70,23314,"A widowed cleaning lady in 1950s London falls madly in love with a couture Dior dress, and decides that she must have one of her own."
Sick of Myself,2022,7.1,Drama|Horror,97,7.1,71,9396,"Increasingly overshadowed by her boyfriend's recent rise to fame as a contemporary artist creating sculptures from stolen furniture, Signe hatches a vicious plan to reclaim her rightfully deserved attention within the milieu of Oslo's cultural elite."
Causeway,2022,6.6,Drama,94,6.6,66,20641,A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home.
Persuasion/I,2022,5.8,Drama|Romance,108,5.8,42,33402,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?"
Violent Night,2022,6.7,Action|Comedy|Thriller,112,6.7,55,78002,"When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas)."
"Good Luck to You, Leo Grande",2022,7.2,Comedy|Drama,97,7.2,78,33775,"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. And she has a plan, which involves hiring a young sex worker named Leo Grande."
"Alice, Darling",2022,5.5,Drama|Romance|Thriller,89,5.5,65,8469,A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.
Last Seen Alive,2022,5.7,Action|Adventure|Crime,95,5.7,,27372,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.
Bandit,2022,6.4,Crime|Drama|Thriller,126,6.4,54,11258,"After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a police task force. Based on the story of The Flying Bandit."
Lightyear,2022,6.1,Animation|Action|Adventure,105,6.1,60,118593,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source."
White Noise/I,2022,5.7,Comedy|Drama|Horror,136,5.7,66,41748,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world."
Empire of Light,2022,6.6,Drama|Romance,115,6.6,54,21387,"A drama about the power of human connection during turbulent times, set in an English coastal town in the early 1980s."
Vengeance/II,2022,6.8,Comedy|Music|Mystery,107,6.8,65,31028,A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.
Luck/I,2022,6.4,Animation|Adventure|Comedy,105,6.4,48,26065,The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.
The Eight Mountains,2022,7.7,Drama,147,7.7,78,10616,"An epic journey of friendship and self-discovery set in the breathtaking Italian Alps, The Eight Mountains follows over four decades the profound, complex relationship between Pietro and Bruno."
The Beasts,2022,7.5,Drama|Thriller,137,7.5,85,13911,"In this edge-of-your-seat thriller, an expatriate French couple operate an organic farm in the Spanish countryside but clash with villagers."
Hustle,2022,7.3,Comedy|Drama|Sport,117,7.3,68,137083,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.
The Curse of Bridge Hollow,2022,5.5,Adventure|Comedy|Family,89,5.5,38,10584,"A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her father!"
Hotel Transylvania: Transformania,2022,6,Animation|Adventure|Comedy,87,6,46,36295,"After one experiment, Johnny turns into a monster and everyone else becomes human. Now it has to be seen whether they will be able to reverse this experiment."
Through My Window,2022,5.5,Comedy|Drama|Romance,116,5.5,,15507,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections."
Samaritan,2022,5.7,Action|Drama|Fantasy,102,5.7,45,52470,A young boy learns that a superhero who was thought to have died after an epic battle twenty-five years ago may in fact still be alive.
Spin Me Round,2022,5.2,Comedy|Romance,104,5.2,58,4964,"A woman wins an all-expenses-paid trip to a company's gorgeous ""institute"" outside of Florence, and also the chance to meet the restaurant chain's wealthy and charismatic owner. She finds a different adventure than the one she imagined."
